date,total_asset,nav,nav_return_pct,daily_return_pct,update_time
2026-01-14,2002000.0,1.001,0.09999999999998899,0.0,2026-01-16 17:52:54
2026-01-15,1980552.87,0.9902764350000001,-0.9723564999999934,-1.0712852147851974,2026-01-16 19:00:00
2026-01-16,1971338.86,0.9856694300000001,-1.4330569999999931,-0.46522413713702043,2026-01-16 18:19:19
2026-01-19,1989604.98,0.99480249,-0.5197510000000016,0.9265844838060885,2026-01-19 21:02:52
2026-01-20,1992838.21,0.996419105,-0.35808950000000284,0.16250612722129273,2026-01-20 18:02:02
2026-01-21,1991312.21,0.995656105,-0.43438949999999865,-0.07657420418489047,2026-01-21 17:48:20
2026-01-22,2027814.5699999998,1.013907285,1.3907284999999936,1.8330807101313282,2026-01-22 17:51:07
2026-01-23,2069733.02,1.03486651,3.4866510000000073,2.0671737258501044,2026-01-23 15:05:01
2026-01-26,2047363.4700000002,1.023681735,2.3681735000000037,-1.080793985690003,2026-01-26 15:05:01
2026-01-27,2038152.74,1.01907637,1.9076370000000065,-0.4498825018109728,2026-01-27 15:05:01
2026-01-28,2028463.0,1.0142315,1.4231499999999953,-0.47541775500104194,2026-01-28 16:19:49
2026-01-29,2024894.37,1.012447185,1.2447185000000083,-0.17592778374561133,2026-01-29 15:57:49
2026-01-30,2017992.33,1.0089961650000001,0.8996165000000111,-0.34085926171052283,2026-01-30 18:22:55
2026-02-02,2008881.97,1.004440985,0.44409850000000084,-0.4514566217404902,2026-02-02 16:27:11
2026-02-03,2019995.1600000001,1.00999758,0.9997580000000061,0.5532027349521239,2026-02-03 18:57:15
2026-02-04,2035460.12,1.01773006,1.7730060000000103,0.7655939136012624,2026-02-04 17:07:13
2026-02-05,2033023.1,1.0165115500000002,1.6511550000000152,-0.11972821162420519,2026-02-05 15:05:01
2026-02-06,2056156.6800000002,1.02807834,2.807833999999998,1.1378906614489352,2026-02-06 15:05:01
2026-02-09,2067044.03,1.033522015,3.352201499999996,0.5295000184518994,2026-02-09 15:05:01
2026-02-10,2054763.2,1.0273816,2.7381600000000006,-0.5941252252860773,2026-02-10 17:41:26
2026-02-11,2053743.84,1.02687192,2.687192000000005,-0.04960960951607045,2026-02-11 23:54:45
2026-02-12,2026356.1600000001,1.01317808,1.3178080000000092,-1.333548978532781,2026-02-12 15:05:01
2026-02-13,2021216.52,1.01060826,1.0608259999999925,-0.2536395181388218,2026-02-13 15:05:01
2026-02-24,2026214.08,1.01310704,1.3107039999999959,0.24725505409979864,2026-02-24 20:57:13
2026-02-25,2034365.28,1.01718264,1.7182639999999916,0.4022872055059411,2026-02-25 16:35:32
2026-02-26,2019985.95,1.009992975,0.999297500000007,-0.7068214416242737,2026-02-26 15:05:01
2026-02-27,2031575.03,1.015787515,1.5787514999999974,0.5737208221670951,2026-02-27 15:05:01
2026-03-02,2001385.51,1.000692755,0.06927549999999894,-1.4860155078791242,2026-03-02 15:05:01
2026-03-03,1988991.31,0.994495655,-0.5504344999999966,-0.6192809899977696,2026-03-03 15:15:13
2026-03-04,1983661.9300000002,0.9918309650000001,-0.816903499999988,-0.2679438554208579,2026-03-04 15:05:02
2026-03-05,1996922.1399999997,0.9984610699999998,-0.15389300000001604,0.6684712651615711,2026-03-05 15:05:01
2026-03-06,2022609.53,1.011304765,1.1304764999999994,1.2863491012223598,2026-03-06 15:05:01
